206,Torthare,"Birla Institute of Technology & Science Pilani, Pilani Campus",2
207,CODE PANTHERS,Indian School of Mines,2
208,SERENITY,"International Institute of Information Technology, Hyderabad",2
209,Sub-Zero,Indian Institute of Technology Mandi,2
210,rrdexter,ABV - Indian Institute of Information Technology and Management Gwalior,2
211,Phoenix_2,Jaypee Institute of Information Technology,2
212,Bayesian Conspiracy,"Birla Institute of Technology & Science Pilani, Hyderabad Campus",2
213,Boolean Trap,"Dharmsinh Desai University, Nadiad",2
214,naiveAlgorists,National Institute of Science and Technology,2
215,return(zilch),"Amrita School of Engineering, Coimbatore",2
216,DarkCoders,Maharaja Agrasen Institute of Technology,2
217,n2_nsit,"Netaji Subhas Institute of Technology, New Delhi",2
218,Code-locked,Pune Institute of Computer Technology,2
219,BUG_ASSASSINS,National Institute of Technology Karnataka,2
220,vela,Indian Institute of Technology Guwahati,2
221,Next_Gen_Coders,"Institute of Engineering & Management, Kolkata",2
222,std,Delhi Technological University,2
223,Sleepy3,"National Institute of Technology, Jamshedpur",2
224,triplemode,Indian Institute of Technology Kharagpur,2
225,Celestial,"International Institute of Information Technology, Hyderabad",2
226,uwin,"University Visvesvaraya College of Engineering, Bangalore",2
227,krmnsk,"Institute of Engineering & Management, Kolkata",2
228,RATS,National Institute of Technology Karnataka,2
229,another,Birla Institute of Technology Mesra,2
230,jhunjhune,"National Institute of Technology, Rourkela",2
231,return0,Birla Institute of Technology Mesra,2
232,Udai,Indian Institute of Technology Delhi,2
233,Saracens,Indian Institute of Technology Kanpur,2
234,Bits and Bytes,Indian Institute of Technology Guwahati,2
235,O(logn),"Netaji Subhas Institute of Technology, New Delhi",2
236,prism,"Bengal Engineering and Science University, Shibpur",2
237,tech_no_logic,"International Institute of Information Technology, Hyderabad",2
238,humblefool,"Netaji Subhas Institute of Technology, New Delhi",2
239,codebugs,Birla Institute of Technology Mesra,2
240,RDX,The LNM Institute of Information Technology,2
241,bhai,Indian Institute of Technology Kanpur,2
242,Code Beginners,"Netaji Subhas Institute of Technology, New Delhi",2
243,#include<iiit.h>,"International Institute of Information Technology, Hyderabad",2
244,im(codEx),"International Institute of Information Technology, Hyderabad",2
245,N Kings,"International Institute of Information Technology, Hyderabad",2
246,R.A.P,Jaypee Institute of Information Technology,2
247,Dementors,Indian Institute of Technology Kharagpur,2
248,codehounds,"IEC College of Engineering and Technology, Greater Noida",2
249,Divergent,Indian Institute of Technology Patna,2
250,Brute Force,"National Institute of Technology, Durgapur",2
251,Codoholics,Graphic Era University,2
252,bitbyte,Jaypee Institute of Information Technology,2
253,bsimpg,Delhi Technological University,2
254,BinaryBeast,"International Institute of Information Technology, Hyderabad",2
255,Trio,"Govind Ballabh Pant Engineering College, New Delhi",2
256,Cipher Solvers,"Madras Institute of Technology, Anna University",2
257,3params,Delhi Technological University,2
258,CloakedCod3rs,"Govind Ballabh Pant Engineering College, New Delhi",2
259,murugappa,Thapar University,2
260,codetohack,Indian Institute of Technology Guwahati,2
261,Plan B,"Indian Institute of Technology, Hyderabad",2
262,EdgeOfTomorrowKGP,Indian Institute of Technology Kharagpur,2
263,xarete,"Malaviya National Institute of Technology, Jaipur",2
264,robots1234,"Netaji Subhas Institute of Technology, New Delhi",2
265,Shark,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",2
266,BreakTheCode,"Guru Tegh Bahadur Institute of Technology, New Delhi",2
267,METALLICA,"Indian Institute of Information Technology, Allahabad",2
268,Xploit,Maharaja Agrasen Institute of Technology,2
269,coderage,The LNM Institute of Information Technology,2
270,HeadStrong,"National Institute of Technology, Durgapur",2
271,#CompressionBomb,National Institute of Technology Tiruchirappalli,2
272,Cychreides,Jaypee Institute of Information Technology,2
273,D3C0D3R5,Netaji Subhash Engineering College,2
274,Tyros,"Birla Institute of Technology, Patna",2
275,ShellShock,"Jaypee University of Engineering and Technology, Guna",2
276,TLE,Jaypee Institute of Information Technology,2
277,AC-Knights,"Sardar Vallabhbhai National Institute of Technology, Surat",2
278,ReCurse,"National Institute of Technology, Durgapur",2
279,Optimus,"Institute of Engineering & Management, Kolkata",2
280,SIMPLE PENDULUM,National Institute of Technology Tiruchirappalli,1
281,NULL Pointers,Indian Institute of Technology Guwahati,1
282,O(N^N),"Indian Institute of Technology, Varanasi",1
283,Great_Gatsby,SRM University,1
284,AllPossible,"St. Xavier's College, Kolkata",1
285,Passsionate Isotopes,Indian Institute of Technology Roorkee,1
286,denied_005,ABV - Indian Institute of Information Technology and Management Gwalior,1
287,codeRunners,"Indraprastha Institute of Information Technology, Delhi",1
288,Mangalyaan,The LNM Institute of Information Technology,1
289,ARR[KHM],"International Institute of Information Technology, Hyderabad",1
290,astralfun,The LNM Institute of Information Technology,1
291,spacebound,Birla Institute of Technology Mesra,1
292,PenduCoders,Indian Institute of Technology Guwahati,1
293,NITR-Sparkles,"National Institute of Technology, Rourkela",1
294,Ubiquity,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",1
295,bitsPlease,"Indraprastha Institute of Information Technology, Delhi",1
296,agents_of_code,"University Institute of Engineering and Technology, Punjab University",1
296,Code Blasters,Jaypee Institute of Information Technology,1
298,strawhats,"National Institute of Technology, Durgapur",1
299,Exceptions,"National Institute of Technology, Durgapur",1
300,CoduPhoders,"International Institute of Information Technology, Hyderabad",1
301,#exclude<coders.h>,Indian Institute of Technology Guwahati,1
302,AAAK,"National Institute of Technology, Calicut",1
303,LiveNLetLive,"International Institute of Information Technology, Hyderabad",1
